@relation 'sysdev-weka.filters.unsupervised.attribute.Remove-R1-8,10,12-14,16-22'

@attribute x-mean1000 numeric
@attribute z-mean1000 numeric
@attribute abs-var1000 numeric
@attribute class {WALKING,STANDING,SITTING}

@data
-2.819412,8.21307,3.303278,SITTING
-2.758121,8.274361,3.08872,SITTING
-2.714341,8.361921,2.740008,SITTING
-2.643199,8.42759,2.572307,SITTING
-2.587866,8.478667,2.361933,SITTING
-2.574246,8.488882,2.170904,SITTING
-2.535242,8.5251,2.046298,SITTING
-2.528277,8.555281,1.884287,SITTING
-2.522384,8.557245,1.758872,SITTING
-2.495443,8.558929,1.674085,SITTING
-2.472093,8.560389,1.577819,SITTING
-2.470816,8.561666,1.488344,SITTING
-2.451663,8.544765,1.402977,SITTING
-2.434637,8.529743,1.334602,SITTING
-2.403275,8.532431,1.272872,SITTING
-2.375048,8.550173,1.210056,SITTING
-2.34951,8.551633,1.153312,SITTING
-2.340224,8.539029,1.117406,SITTING
-2.31842,8.527522,1.074615,SITTING
-2.311203,8.516974,1.042938,SITTING
-2.304563,8.495011,1.026517,SITTING
-2.231013,8.519527,0.681788,SITTING
-2.157463,8.556302,0.238088,SITTING
-2.157463,8.531786,0.283893,SITTING
-2.156992,8.521885,0.303163,SITTING
-2.145205,8.486524,0.330355,SITTING
-2.132947,8.470494,0.377078,SITTING
-2.120688,8.433719,0.4349,SITTING
-2.132947,8.396944,0.479588,SITTING
-2.145205,8.360169,0.553738,SITTING
-2.157463,8.335653,0.612152,SITTING
-2.170743,8.261592,0.637062,SITTING
-2.185178,8.221064,0.636795,SITTING
-2.211826,8.194415,0.602762,SITTING
-2.22515,8.167767,0.578805,SITTING
-2.265123,8.141118,0.670251,SITTING
-2.31842,8.101146,0.733842,SITTING
-2.371717,8.047849,0.685373,SITTING
-2.451663,7.953973,0.646861,SITTING
-2.524629,7.880344,0.693881,SITTING
-2.563102,7.856464,0.774672,SITTING
-2.604891,7.800744,0.772314,SITTING
-2.660611,7.758955,0.800541,SITTING
-2.716331,7.731095,0.788015,SITTING
-2.819412,7.6308,0.589764,SITTING
-2.911349,7.584831,0.521583,SITTING
-3.983952,7.354988,0,SITTING
-4.290409,6.895301,0.020915,SITTING
-3.881799,9.704498,4.340894,SITTING
-3.371036,9.730036,8.058923,SITTING
-3.064578,9.684067,8.984471,SITTING
